"Temp_C","Pressure_psi","Speed_uph","Humidity_pct","Material_Score","Cycle_Time_min","Downtime_hrs"
197.9,48.1,221,65.6,2.6,16.5,34.78
111.9,77.2,220,54.4,4.2,44.3,29.74
114.4,77.8,198,22.5,8.1,46.6,29.44
112.9,37.5,134,29.6,8.2,35.5,18.02
114,20.6,161,55.3,3.9,11.6,8.4
183.2,18.7,224,79.1,2.3,48.7,17.4
50.9,16.3,298,61,4.3,20.6,3.73
62.2,62.2,68,76.6,3.2,14.5,16.11
93.3,59.7,57,80,8.4,36.1,21.92
164.8,16.2,152,23.6,5.5,37.8,13.42
116.4,43.3,288,29.4,9.6,38,19.24
70.8,21.6,262,43.2,2.2,54.3,7.17
179.4,47.7,296,22.1,9.6,35.7,28.22
116,19.6,257,61.2,5,29.6,14.02
90,75.9,156,23.2,8.1,32,25.96
182.2,20,108,52.1,3.3,5.5,15.84
77.3,65.7,54,69.1,9.2,20.6,16.74
104.4,10.1,204,22.6,6.6,25,7.73
58.3,59.4,202,56.2,2.7,21.1,15.74
166.3,61.1,89,69.1,8.7,8.6,32.72
142.8,29.3,116,63.2,1.7,47.3,15.37
105.2,38.1,244,39.9,6,31.2,14.9
192.3,12,227,28.9,4,15.5,10.04
159,51,136,61.3,9.8,36.8,29.7
90.1,50.4,190,72.6,3.5,50.6,18.52
178.3,54.3,193,43.3,5.7,10,34.71
152,29.6,110,79,1.2,13.1,17.08
89.1,12.8,116,30.4,5.5,6.7,5.4
188.3,14.3,171,35.5,9.5,12,12.43
92.1,78.1,158,28.3,8.6,49.4,24.23
