"Temp_C","Pressure_psi","Speed_uph","Humidity_pct","Material_Score","Cycle_Time_min","Downtime_hrs"
85.3,65.3,295,56,2.4,31.3,10.98
147.9,78.5,132,24,6.3,34.4,0.1
149.7,32.3,298,36.8,4.5,25.6,0.1
168.5,10.7,212,48.9,7.8,39.3,0.1
157.2,62.6,145,54.7,3.2,57.3,0.1
57.6,59.3,116,70.7,9.8,22.8,0.1
68.7,56.3,130,33.1,5.8,18,0.1
98.6,55.6,186,69.5,6.4,45.1,0.1
195.3,24.6,232,44.5,9.9,10.6,2.15
126.8,71.4,299,45,8.7,41,0.1
57.9,46.4,186,26.3,5.4,37.4,0.1
90,15.2,109,41.5,7.7,48.1,0.1
103.5,71.6,238,35.5,1.7,17.1,17.89
99.3,23.3,103,55.5,2.9,19.6,7.61
54.5,69.9,251,79.4,3.7,33.1,0.1
82.6,41.3,148,50.6,9.2,52.8,0.1
184.7,71.9,194,49.6,3.6,36.7,0.1
81.5,34.7,297,27.8,9,58.2,0.1
175.4,26.3,80,68,5.3,28.8,0.1
54.6,75.3,131,43.6,6.4,15.3,4.31
72.8,41.5,112,47.6,5.3,13.9,5.85
92,49.8,89,38,4.4,36.1,0.1
192,16.1,137,78.2,3.9,41.8,0.1
198.7,30.1,255,45.5,1.9,59.9,3.83
86.3,40.4,178,65.4,8.6,58,0.1
190.5,65.1,154,37.1,7.9,17.9,0.1
178.5,23.5,140,73.4,1.8,25,13.86
135.1,57.5,66,26.5,2.1,32.2,10.41
129,65.9,222,59.1,6.1,32.7,0.1
148.2,57.9,266,45.5,9.6,15.2,0.1
