"Temp_C","Pressure_psi","Speed_uph","Humidity_pct","Material_Score","Cycle_Time_min","Downtime_hrs"
91.2,67.8,286,60.4,6,32.1,13.3
85.3,49.2,83,59.2,8.6,48.1,3.38
127.5,31,189,25.8,7.9,53.3,10.8
161.3,51.8,128,70,8.5,34.3,8.53
63.7,76.2,80,44.7,7.1,45.9,5.59
68.6,66.8,102,63.3,2.2,54.2,2.41
121.2,20.7,183,75.9,7,6,6.61
86.4,20.6,133,47.4,5.6,7.7,7.03
54.1,23.9,245,55.3,8.5,40.1,5.84
68.8,37.5,235,36.7,5,20.3,4.11
187,48.4,109,20.6,3.7,45.1,6.64
75.5,43.4,159,32.6,7.8,45.9,5.56
130.1,32.1,65,56.1,7.9,56.6,5.34
100.3,27.5,175,63.5,1.4,10.3,7.03
118.1,60.3,201,21.7,9.3,54.9,8.57
189.9,57.7,148,34.6,6.1,26.6,11.08
183.4,29.8,188,57.3,1.2,11.5,15.23
181,49.1,109,31,5.7,13.3,9.15
117.7,23.5,145,42.7,2.4,42.7,8.71
125.5,63.1,78,67.7,6.3,50.4,6.94
85.1,78.3,56,61.6,4.3,55.5,2.58
95.1,30.7,50,67.6,3.2,15.4,3.75
66.7,40.7,245,62.6,9.2,11.5,8.09
64.4,34.7,235,52.7,2.9,10.1,5.22
82,19.9,265,75.7,8.6,28.5,9.71
142.5,64.3,211,66,1.1,41.1,13.83
94,53.3,293,47.8,3.6,34,11.2
87.7,58.2,238,24.3,3,33,4.62
94,43.2,173,33.5,7.7,10.4,5.58
138.9,56.3,123,26.1,4.5,29.8,9.82
