"Temp_C","Pressure_psi","Speed_uph","Humidity_pct","Material_Score","Cycle_Time_min","Downtime_hrs"
90,30,245,28.7,2.4,36.4,16.35
164.4,52.8,93,44.6,5.6,32.8,23.42
144.2,12.6,213,78.4,2,26.3,7.26
81.8,38.2,233,48,4.1,19,8.75
70.6,29.1,176,62.5,2.5,15.5,6.24
133.2,28.4,58,52.1,2.4,41.4,19.36
139.1,26,134,54.5,9.8,54.1,17.95
170.7,59.3,298,73,3.1,19.9,17.55
191.9,36.4,100,55.8,9.1,14.6,9.84
179.7,23,174,77.5,6.9,25.8,9.47
142.8,21.9,295,51.3,6.2,36.3,15.07
146.6,40.5,258,61.2,7.2,19.4,11.27
124.6,42.2,54,31.1,3.8,39.9,23.48
177.4,46.3,113,73.5,5,44.3,29.87
162.9,61.7,61,50.1,6.5,39.1,30.29
148.9,50.8,159,20.5,2.8,33.3,26.62
151.2,20.5,100,78.6,3.2,23.9,7.02
162.1,11.8,284,74.1,4.5,43.7,9.67
146.4,57.7,299,36,9.9,38,28.12
148.1,61.5,169,30.6,3.8,8.3,7.67
169.5,51.1,285,65.6,7.2,7.8,6.56
93.7,64.2,51,47.9,2.4,26.9,25.5
61.6,42,196,36,1.3,10.5,6.45
168.8,55,156,49.7,7.8,32,23.73
177.1,46.3,77,67.8,2.7,11.4,7.85
102.4,18.5,119,23.7,5.7,22.5,6.18
141.1,40.5,128,50.1,7.9,28.9,14.63
173.8,47.1,115,36.4,3.2,10.5,8.96
187,32.9,55,64.8,3.9,33.1,14.87
133.4,42.6,205,34.1,4.7,36.8,22.36
