"Temp_C","Pressure_psi","Speed_uph","Humidity_pct","Material_Score","Cycle_Time_min","Downtime_hrs"
159,35.4,294,36.4,6.9,20.5,0.1
120.9,48.9,63,28.4,2,56.1,12.22
76.8,10.2,71,50.5,1.7,18.3,8.77
82.2,29.9,171,77.2,2.1,31.2,0.7
71.7,38.5,92,29.8,2.2,54,11.97
156.9,54,134,74.3,4.6,14.4,0.1
62.6,35.4,255,38.9,6,50.4,0.1
65,73.2,102,44.4,2.2,43.6,6.94
69.6,28,206,54,8.1,47.4,0.1
134.2,55.9,249,26.8,1.4,45.3,14.2
182.5,18.3,98,39.3,1.1,42.8,11.11
157.7,70.6,195,70.8,6.4,23,0.1
84.2,47.4,197,22.9,3.8,42.3,6.34
156.6,15.5,214,31.2,6,58.7,0.1
118.6,59.1,68,58.6,4.2,7.7,0.1
191.8,19.9,258,67.8,4.3,24.4,0.1
101.4,60.4,140,60.1,4,23.6,0.1
103.8,36.1,74,42.1,3.9,44.5,0.46
107.3,49.2,196,40.4,9,31.9,0.1
170.2,77.1,253,27.2,6.3,19.6,2.16
86.5,37.1,91,59,4.4,27.9,0.1
69.4,79.9,269,61.5,7.9,19.2,0.1
66.2,25.9,83,31.1,9.2,16.6,0.1
101.7,23.3,209,36.6,4.6,12.4,0.1
131,22.9,142,35.8,6.2,50,0.1
55,43.6,143,23.7,9.6,44,0.1
163.2,11.3,146,78.9,3.8,36.1,0.1
176.5,66.4,240,49.8,2.9,10.8,2.85
52.3,78.6,84,48,7.5,25.4,0.1
93.6,49.1,74,51.9,7,8.6,0.1
