"Temp_C","Pressure_psi","Speed_uph","Humidity_pct","Material_Score","Cycle_Time_min","Downtime_hrs"
130.2,25.3,100,21.5,6.3,37.7,7.79
137.3,68.4,223,43.3,1.9,39.5,15.55
76.3,60.6,197,32,2.4,29.8,9.95
124.9,61.8,195,66.9,2.4,50,16.85
130,49,149,21.8,4.5,41.9,12.13
167.7,17,291,74.7,8.6,48.7,20.9
119.2,55.5,290,78.4,8.6,16.6,10.34
183.3,69.4,97,77,4.1,19.7,3.94
121.6,68.6,272,30.7,2.9,42.5,19.9
179.1,38.9,193,75.2,9.6,11.1,5.79
67.1,57.5,204,57.9,9.8,49.7,11.39
124.1,16.9,268,69.8,7,32.9,15.91
70.3,43.5,249,24.8,7,7.5,6.7
88,28.2,249,48.4,3.2,48.7,18.7
73,61.3,82,57.7,4.6,33.3,6.46
109.2,29.6,231,46.4,9.6,19.8,12.69
66,40.1,256,21.1,5.2,7.9,10.01
66.3,62.8,105,47.2,8.1,6.3,6.13
83.6,73.1,168,65.2,1.5,24.5,10.19
194.6,75.2,152,62.1,2.1,50.4,16.12
169.1,24.8,241,29.1,1.7,39,13.88
123.2,78.6,109,70.7,3.4,25.9,6.16
95.5,50.4,245,68.1,5.4,10.4,7.26
59.9,52.4,220,35.8,5.9,50,15.95
183.5,40.8,190,21.1,2.2,15.5,4.63
146.5,77.1,108,59.5,1.9,25,8.9
158.7,72.4,82,54.9,7.4,10.2,4.3
115.1,14.3,94,55.4,4.3,48.8,3.81
74.6,57,86,71.1,9.3,27.7,5.88
172.2,12.3,236,74.8,8.5,24.9,12.83
