"Temp_C","Pressure_psi","Speed_uph","Humidity_pct","Material_Score","Cycle_Time_min","Downtime_hrs"
71.2,44.3,202,28.2,7.3,57.3,9.93
121.9,35.7,181,46.8,2.4,40.2,24.96
57.3,45.1,147,24.6,8.3,5.8,9.4
160.1,22.4,289,29.7,2.1,21,20.75
194.3,75.6,126,63,5.7,9,49.85
179.1,69.4,204,20.2,5.3,31.3,15.39
190.7,43.6,282,61,5.1,35.4,51.52
152.8,74,277,38.9,3.6,30.2,28.35
177.3,28.4,161,42.7,5,42.4,32.86
150.4,47.7,57,63.7,4.9,34.8,43.9
83.7,76.7,72,56.3,6,47.5,21.61
165.1,49.9,253,37.4,3.3,45.9,28.63
149.4,27.9,191,70.5,6.1,12,46.26
79.9,29.1,149,47.4,3,54.2,18.03
198.9,22,89,71.4,6.5,30.3,60.37
82.3,44.6,116,27.4,7.4,24.5,11.77
180.6,65.9,201,54.7,4.7,11.8,42.27
79.2,22.7,231,52.9,4.1,27.1,17.81
117.6,31,193,21.4,8.4,38.9,11.14
167.6,45.8,124,30.9,9.5,34.7,25.31
130.2,30.9,288,27.5,2.6,16.3,18.04
50.4,74.9,157,76.7,9,32.5,18.88
177.6,16.4,55,78.4,8.5,11.2,54.59
82.1,41.8,98,40.6,5.5,6.4,15.43
181.8,64.4,100,45.8,6.7,59.6,35.7
184.2,52.4,84,44.4,5.7,10.9,32.43
131,27.5,300,68.4,8.5,27.2,37.19
118.2,23.7,131,66.2,9.9,11.2,33.51
137.3,68.9,196,29.8,2.3,9.4,20.39
187.2,54.2,175,58.8,3.6,54,46.46
